name,year,rating,movie_duration,age_rating,popularity,movie_url
Дом у дороги,2024,6.2,2h 1m,R,Moved up 21 in ranking,https://www.imdb.com/title/tt3359350/?ref_=chtmvm_t_1
Дюна: Часть вторая,2024,8.8,2h 46m,PG-13,No rank change,https://www.imdb.com/title/tt15239678/?ref_=chtmvm_t_2
Бедные-несчастные,2023,8.0,2h 21m,R,Moved down 2 in ranking,https://www.imdb.com/title/tt14230458/?ref_=chtmvm_t_3
Дева и дракон,2024,6.1,1h 50m,PG-13,Moved down 1 in ranking,https://www.imdb.com/title/tt13452446/?ref_=chtmvm_t_4
Дюна,2021,8.0,2h 35m,12+,No rank change,https://www.imdb.com/title/tt1160419/?ref_=chtmvm_t_5
Охотники за привидениями: Леденящий ужас,2024,6.5,1h 55m,PG-13,Moved up 28 in ranking,https://www.imdb.com/title/tt21235248/?ref_=chtmvm_t_6
Чужой: Ромул,2024,N/A,N/A,N/A,Moved up 543 in ranking,https://www.imdb.com/title/tt18412256/?ref_=chtmvm_t_7
Битлджус 2,2024,N/A,N/A,N/A,Moved up 134 in ranking,https://www.imdb.com/title/tt2049403/?ref_=chtmvm_t_8
Оппенгеймер,2023,8.3,3h,18+,Moved down 5 in ranking,https://www.imdb.com/title/tt15398776/?ref_=chtmvm_t_9
Мадам Паутина,2024,3.8,1h 56m,PG-13,Moved up 10 in ranking,https://www.imdb.com/title/tt11057302/?ref_=chtmvm_t_10
Джентльмены,2019,7.8,1h 53m,18+,Moved up 2 in ranking,https://www.imdb.com/title/tt8367814/?ref_=chtmvm_t_11
Ирландская мечта,2024,5.2,1h 33m,TV-PG,Moved up 30 in ranking,https://www.imdb.com/title/tt21957774/?ref_=chtmvm_t_12
Любовь истекает кровью,2024,7.3,1h 44m,R,Moved up 5 in ranking,https://www.imdb.com/title/tt19637052/?ref_=chtmvm_t_13
Рики Стэники,2024,6.2,1h 53m,R,Moved down 7 in ranking,https://www.imdb.com/title/tt1660648/?ref_=chtmvm_t_14
Дом у дороги,1989,6.7,1h 54m,16+,Moved up 71 in ranking,https://www.imdb.com/title/tt0098206/?ref_=chtmvm_t_15
Кунг-фу панда 4,2024,6.5,1h 34m,PG,Moved down 8 in ranking,https://www.imdb.com/title/tt21692408/?ref_=chtmvm_t_16
Омен. Непорочная,2024,6.3,1h 29m,18+,Moved up 32 in ranking,https://www.imdb.com/title/tt23137390/?ref_=chtmvm_t_17
Вонка,2023,7.1,1h 56m,PG,Moved down 6 in ranking,https://www.imdb.com/title/tt6166392/?ref_=chtmvm_t_18
Зона интересов,2023,7.5,1h 45m,PG-13,Moved down 13 in ranking,https://www.imdb.com/title/tt7160372/?ref_=chtmvm_t_19
Поздний вечер с дьяволом,2023,7.5,1h 33m,R,Moved up 24 in ranking,https://www.imdb.com/title/tt14966898/?ref_=chtmvm_t_20
"Кто угодно, кроме тебя",2023,6.2,1h 43m,R,Moved down 5 in ranking,https://www.imdb.com/title/tt26047818/?ref_=chtmvm_t_21
The American Society of Magical Negroes,2024,2.4,1h 44m,PG-13,Moved up 36 in ranking,https://www.imdb.com/title/tt30007864/?ref_=chtmvm_t_22
Дюна,1984,6.3,2h 17m,12+,Moved down 9 in ranking,https://www.imdb.com/title/tt0087182/?ref_=chtmvm_t_23
"Поздравляю, это убийство",2024,6.6,2h 20m,TV-MA,Moved up 54 in ranking,https://www.imdb.com/title/tt27028399/?ref_=chtmvm_t_24
Битлджюс,1988,7.5,1h 32m,12+,Moved up 338 in ranking,https://www.imdb.com/title/tt0094721/?ref_=chtmvm_t_25
Ворон,2024,N/A,N/A,N/A,Moved up 6 in ranking,https://www.imdb.com/title/tt1340094/?ref_=chtmvm_t_26
Американское чтиво,2023,7.6,1h 57m,R,Moved down 16 in ranking,https://www.imdb.com/title/tt23561236/?ref_=chtmvm_t_27
Анатомия падения,2023,7.7,2h 31m,18+,Moved down 19 in ranking,https://www.imdb.com/title/tt17009710/?ref_=chtmvm_t_28
Падение империи,2024,7.3,1h 49m,16+,Moved up 25 in ranking,https://www.imdb.com/title/tt17279496/?ref_=chtmvm_t_29
Аргайл: Супершпион,2024,5.7,2h 19m,PG-13,Moved down 9 in ranking,https://www.imdb.com/title/tt15009428/?ref_=chtmvm_t_30
Godzilla x Kong: The New Empire,2024,N/A,1h 55m,PG-13,Moved up 5 in ranking,https://www.imdb.com/title/tt14539740/?ref_=chtmvm_t_31
Фьюриоса,2024,N/A,N/A,N/A,Moved up 86 in ranking,https://www.imdb.com/title/tt12037194/?ref_=chtmvm_t_32
Манкимэн,2024,7.5,2h 1m,16+,Moved up 13 in ranking,https://www.imdb.com/title/tt9214772/?ref_=chtmvm_t_33
Оставленные,2023,8.0,2h 13m,R,Moved down 24 in ranking,https://www.imdb.com/title/tt14849194/?ref_=chtmvm_t_34
Каскадёры,2024,N/A,2h 6m,PG-13,Moved up 3 in ranking,https://www.imdb.com/title/tt1684562/?ref_=chtmvm_t_35
Герой наших снов,2023,7.0,1h 42m,16+,Moved up 53 in ranking,https://www.imdb.com/title/tt21942866/?ref_=chtmvm_t_36
Космонавт,2024,5.7,1h 47m,R,Moved down 20 in ranking,https://www.imdb.com/title/tt11097384/?ref_=chtmvm_t_37
Пчеловод,2024,6.4,1h 45m,R,Moved down 14 in ranking,https://www.imdb.com/title/tt15314262/?ref_=chtmvm_t_38
Scoop,2024,N/A,1h 42m,N/A,Moved up 8234 in ranking,https://www.imdb.com/title/tt21279806/?ref_=chtmvm_t_39
Солтберн,2023,7.0,2h 11m,R,Moved down 13 in ranking,https://www.imdb.com/title/tt17351924/?ref_=chtmvm_t_40
Дрянные девчонки,2024,5.8,1h 52m,PG-13,Moved down 18 in ranking,https://www.imdb.com/title/tt11762114/?ref_=chtmvm_t_41
Барби,2023,6.9,1h 54m,PG-13,Moved down 23 in ranking,https://www.imdb.com/title/tt1517268/?ref_=chtmvm_t_42
Охотники за привидениями: Наследники,2021,7.0,2h 4m,12+,Moved up 90 in ranking,https://www.imdb.com/title/tt4513678/?ref_=chtmvm_t_43
Shaitaan,2024,7.5,2h 12m,N/A,Moved down 9 in ranking,https://www.imdb.com/title/tt27744786/?ref_=chtmvm_t_44
Ford против Ferrari,2019,8.1,2h 32m,16+,Moved up 203 in ranking,https://www.imdb.com/title/tt1950186/?ref_=chtmvm_t_45
Убийцы цветочной луны,2023,7.6,3h 26m,R,Moved down 31 in ranking,https://www.imdb.com/title/tt5537002/?ref_=chtmvm_t_46
"Артур, ты король",2024,7.1,1h 47m,12+,Moved up 23 in ranking,https://www.imdb.com/title/tt10720352/?ref_=chtmvm_t_47
Боб Марли: Одна любовь,2024,6.4,1h 47m,PG-13,Moved up 29 in ranking,https://www.imdb.com/title/tt8521778/?ref_=chtmvm_t_48
Кабрини,2024,7.9,2h 22m,PG-13,Moved down 20 in ranking,https://www.imdb.com/title/tt14351082/?ref_=chtmvm_t_49
Тролли 3,2023,6.0,1h 31m,PG,Moved up 74 in ranking,https://www.imdb.com/title/tt14362112/?ref_=chtmvm_t_50
Стальная хватка,2023,7.7,2h 12m,18+,Moved down 6 in ranking,https://www.imdb.com/title/tt21064584/?ref_=chtmvm_t_51
The Idea of You,2024,5.7,1h 55m,R,No rank change,https://www.imdb.com/title/tt9466114/?ref_=chtmvm_t_52
Красотки в бегах,2024,5.6,1h 24m,R,Moved down 22 in ranking,https://www.imdb.com/title/tt19356262/?ref_=chtmvm_t_53
Воображаемый друг,2024,4.8,1h 44m,PG-13,Moved down 26 in ranking,https://www.imdb.com/title/tt26658104/?ref_=chtmvm_t_54
Охотники за привидениями,1984,7.8,1h 45m,0+,Moved up 47 in ranking,https://www.imdb.com/title/tt0087332/?ref_=chtmvm_t_55
Мы всем чужие,2023,7.8,1h 45m,R,Moved down 9 in ranking,https://www.imdb.com/title/tt21192142/?ref_=chtmvm_t_56
Ворон,1994,7.5,1h 42m,16+,Moved up 9 in ranking,https://www.imdb.com/title/tt0109506/?ref_=chtmvm_t_57
Министерство неджентльменских дел,2024,N/A,2h,16+,Moved up 38 in ranking,https://www.imdb.com/title/tt5177120/?ref_=chtmvm_t_58
Наполеон,2023,6.4,2h 38m,18+,Moved down 26 in ranking,https://www.imdb.com/title/tt13287846/?ref_=chtmvm_t_59
Интерстеллар,2014,8.7,2h 49m,12+,Moved down 12 in ranking,https://www.imdb.com/title/tt0816692/?ref_=chtmvm_t_60
Аквамен и потерянное царство,2023,5.6,2h 4m,PG-13,Moved down 21 in ranking,https://www.imdb.com/title/tt9663764/?ref_=chtmvm_t_61
Одна жизнь,2023,7.6,1h 49m,16+,Moved up 14 in ranking,https://www.imdb.com/title/tt13097932/?ref_=chtmvm_t_62
Годзилла минус один,2023,8.3,2h 4m,PG-13,Moved down 38 in ranking,https://www.imdb.com/title/tt23289160/?ref_=chtmvm_t_63
Территория зла,2024,6.5,1h 53m,18+,Moved up 28 in ranking,https://www.imdb.com/title/tt19864802/?ref_=chtmvm_t_64
Животное,2023,6.2,3h 24m,Not Rated,Moved up 7 in ranking,https://www.imdb.com/title/tt13751694/?ref_=chtmvm_t_65
Быстрее пули,2022,7.3,2h 7m,16+,Moved up 68 in ranking,https://www.imdb.com/title/tt12593682/?ref_=chtmvm_t_66
Безумный Макс: Дорога ярости,2015,8.1,2h,16+,Moved up 69 in ranking,https://www.imdb.com/title/tt1392190/?ref_=chtmvm_t_67
Прошлые жизни,2023,7.9,1h 45m,16+,Moved down 42 in ranking,https://www.imdb.com/title/tt13238346/?ref_=chtmvm_t_68
Побег из Шоушенка,1994,9.3,2h 22m,16+,Moved down 2 in ranking,https://www.imdb.com/title/tt0111161/?ref_=chtmvm_t_69
Кукольная анимация,2023,5.6,1h 33m,R,Moved up 110 in ranking,https://www.imdb.com/title/tt14852624/?ref_=chtmvm_t_70
Винни-Пух: Кровь и мёд 2,2024,6.5,1h 40m,Not Rated,Moved down 6 in ranking,https://www.imdb.com/title/tt23330554/?ref_=chtmvm_t_71
Однажды в... Голливуде,2019,7.6,2h 41m,18+,Moved down 8 in ranking,https://www.imdb.com/title/tt7131622/?ref_=chtmvm_t_72
"Мятежная Луна, часть 1: Дитя огня",2023,5.6,2h 13m,PG-13,Moved up 28 in ranking,https://www.imdb.com/title/tt14998742/?ref_=chtmvm_t_73
Один день,2011,7.0,1h 47m,PG-13,Moved down 21 in ranking,https://www.imdb.com/title/tt1563738/?ref_=chtmvm_t_74
Идеальные дни,2023,7.9,2h 4m,18+,Moved down 24 in ranking,https://www.imdb.com/title/tt27503384/?ref_=chtmvm_t_75
Любовь и искусство,2024,4.5,1h 39m,TV-MA,Moved up 596 in ranking,https://www.imdb.com/title/tt28355490/?ref_=chtmvm_t_76
Голодные игры: Баллада о змеях и певчих птицах,2023,6.8,2h 37m,PG-13,Moved up 10 in ranking,https://www.imdb.com/title/tt10545296/?ref_=chtmvm_t_77
Флэш,2023,6.7,2h 24m,PG-13,Moved up 110 in ranking,https://www.imdb.com/title/tt0439572/?ref_=chtmvm_t_78
Пропавшая,2020,6.2,1h 38m,R,Moved down 8 in ranking,https://www.imdb.com/title/tt7711170/?ref_=chtmvm_t_79
20 дней в Мариуполе,2023,8.6,1h 35m,(Banned),Moved down 37 in ranking,https://www.imdb.com/title/tt24082438/?ref_=chtmvm_t_80
Дэдпул и Россомаха,2024,N/A,N/A,N/A,Moved up 14 in ranking,https://www.imdb.com/title/tt6263850/?ref_=chtmvm_t_81
Крёстный отец,1972,9.2,2h 55m,16+,Moved down 2 in ranking,https://www.imdb.com/title/tt0068646/?ref_=chtmvm_t_82
Иди и смотри,1985,8.4,2h 22m,16+,Moved up 48 in ranking,https://www.imdb.com/title/tt0091251/?ref_=chtmvm_t_83
Феррари,2023,6.5,2h 10m,16+,Moved up 4 in ranking,https://www.imdb.com/title/tt3758542/?ref_=chtmvm_t_84
Девушка Миллера,2024,5.2,1h 33m,R,Moved up 6 in ranking,https://www.imdb.com/title/tt8310486/?ref_=chtmvm_t_85
X,2022,6.5,1h 45m,18+,Moved up 21 in ranking,https://www.imdb.com/title/tt13560574/?ref_=chtmvm_t_86
Претенденты,2024,N/A,R,N/A,Moved up 26 in ranking,https://www.imdb.com/title/tt16426418/?ref_=chtmvm_t_87
Оставь мир позади,2023,6.5,2h 18m,R,Moved down 3 in ranking,https://www.imdb.com/title/tt12747748/?ref_=chtmvm_t_88
Вуайеристы,2021,6.1,1h 56m,R,Moved up 26 in ranking,https://www.imdb.com/title/tt11235772/?ref_=chtmvm_t_89
Боец,2024,6.4,2h 10m,16+,Moved up 57 in ranking,https://www.imdb.com/title/tt16139258/?ref_=chtmvm_t_90
Тёмный рыцарь,2008,9.0,2h 32m,14+,Moved down 18 in ranking,https://www.imdb.com/title/tt0468569/?ref_=chtmvm_t_91
Бэтмен,2022,7.8,2h 56m,16+,Moved up 8 in ranking,https://www.imdb.com/title/tt1877830/?ref_=chtmvm_t_92
Джокер: Безумие на двоих,2024,N/A,N/A,N/A,Moved up 56 in ranking,https://www.imdb.com/title/tt11315808/?ref_=chtmvm_t_93
Бегущий по лезвию 2049,2017,8.0,2h 44m,18+,No rank change,https://www.imdb.com/title/tt1856101/?ref_=chtmvm_t_94
Общество снега,2023,7.8,2h 24m,R,Moved down 35 in ranking,https://www.imdb.com/title/tt16277242/?ref_=chtmvm_t_95
Bramayugam,2024,8.1,2h 19m,N/A,Moved up 146 in ranking,https://www.imdb.com/title/tt27431598/?ref_=chtmvm_t_96
Француженка,2024,5.2,1h 46m,R,Moved up 804 in ranking,https://www.imdb.com/title/tt23319892/?ref_=chtmvm_t_97
Начало,2010,8.8,2h 28m,12+,Moved down 15 in ranking,https://www.imdb.com/title/tt1375666/?ref_=chtmvm_t_98
Топ Ган: Мэверик,2022,8.2,2h 10m,16+,Moved up 18 in ranking,https://www.imdb.com/title/tt1745960/?ref_=chtmvm_t_99
Кунг-фу Панда,2008,7.6,1h 32m,0+,Moved down 26 in ranking,https://www.imdb.com/title/tt0441773/?ref_=chtmvm_t_100
